name,condition,rating,cost,url
EVGA NVIDIA GeForce GTX 950 Graphics Card 02G-P4-2956-KR 2GB GDDR5 PCIe 3.0x16,Very Good - Refurbished,,$58.20,https://www.ebay.com/itm/135011363572?itmmeta=01HZ5T06DKA1AW18GXNDWG8B72&hash=item1f6f4deaf4:g:ST4AAOSwUZpmOfbK&itmprp=enc%3AAQAJAAAA4COiX8Qr7DMdR9n9VEpg%2FhoF%2Fnj%2BG86eaOFlze7vbUh7T%2FOS3GZOR8BEd%2F07i61odvpvHDeSoR31yuiHcYFVuSka3rZqREbELMkKiySbmluVAvrzwonYoRaVJw6v691eKBRaL7L0cxV%2FwU0GsY4NnKC3RXZ9jGIrmzyGe3D4au1DfcamjNvuG2UkU40I%2BeQkla245R%2BpmMKpMJYMLLIB2pe5hvKRyEJv6CRbu4UJSSf7zVQNel8oy6z%2BZfrratmBg5%2FfWZZR3yuIm2yT0e%2BWfMjMNu2UZEEhYYVdGO9DqOGI%7Ctkp%3ABFBMhueAuvlj
MSI NVIDIA GeForce GTX 1060 6GB GD,Pre-Owned · MSI · NVIDIA GeForce GTX 1060 · 6 GB,5.0 out of 5 stars.,$65.00,https://www.ebay.com/itm/405007672294?epid=6026513343&itmmeta=01HZ5T06DK7M7JFNZSE3PDZYJF&hash=item5e4c56a3e6:g:jlAAAOSwHFlmWOzm&itmprp=enc%3AAQAJAAAA4GqgSN008sfOOvXJeA5OmphG6KaxwYlDJZxOPFFgTEh7hTdNJeT1N3OF5N9%2FvvZ7juXZrFwCoE0KSE0TS74r59RPikS7gKmcOt86pbZNSRoMpwBi1zNVn%2FbMHOQi5FI0EZDzj3H4RiHdA1P55bzSJxUGWAv9U3ruyzQpOnJljp6CtsopoL5sMFdsSWskZqbQgokfJYYof0MvkSUtes%2F9PliTqmhIgzpLXvJQOBfnI7LlSm%2BeXOodyHnJpTzjhaFXnWHygJ4UR4dqZKv68qSJWMS%2FKJIRkOsBJOzZIJjn76mn%7Ctkp%3ABFBMhueAuvlj
ZOTAC ZT-T20800G-10P NVIDIA GeForc,Pre-Owned · ZOTAC · NVIDIA GeForce RTX 2080 · 8 GB,,$159.00,https://www.ebay.com/itm/204810621453?itmmeta=01HZ5T06DKNC271WPPNHN2R2W7&hash=item2fafaa120d:g:MHsAAOSw7zBmWPjv&itmprp=enc%3AAQAJAAAAwOmkqXJNM6CvJpydaHDtdX5kcoef4TicPLSAPbPei6ZRVruQpAEqU7zpTBShZSRinwShZ5xcH5kb4zzN655%2BVlFkNPhykzFkqSfDFF7BVkoUkwYMn9FpV9%2Ff6p%2FOq7tPx4afIsEHpiUMYOtSpmGlHemd7pCN8xPa1fqrKrCQtZEnfqHPAImlyFHQmS7FoRVfzYdpbqKtklsWDkwPgHx7kTFepWMiInrHU7v%2FhTd%2B4S2dJk6qysaIpUAH%2FrofRQrhHA%3D%3D%7Ctkp%3ABk9SR4bngLr5Yw
PowerColor Red Devil AMD Radeon RX 7800 XT 16GB GDDR6 Graphics Card,Very Good - Refurbished · PowerColor · AMD Radeon RX 7800 XT · 16 GB,,$365.00,https://www.ebay.com/itm/196416597749?epid=26063453601&itmmeta=01HZ5T06DKHJ92Z5KH14ER5MVR&hash=item2dbb576ef5:g:mv4AAOSwjiRmTE2L&itmprp=enc%3AAQAJAAAA4CW%2F1ioYtub%2BcVp%2B47%2Bets%2BOygiQrADoYOaRcfnDsWT83OLojtgep9q2F1L0Zqi%2BeYpwqj%2FPZQfRp%2BVWmApUppqolx5eULlkKZGJhJIRhNPJOrKhbCC3mU9GYZfN2vguEL4sJCTMPTER1hPfQde9omEGy3GeJcNP04bKcbmyoI1Dumgkf8L9K%2FrNCvVD%2BwVvIUFQFYiyPlgC7DQvGkzXtamhpm5MEpQULyuYeI0FoVkVwtexEem4omnS1hacTkwykS7FcmRzBsoZq%2BdXixCbov99k1OW4f7RNecB%2Bh3imjWS%7Ctkp%3ABk9SR4bngLr5Yw
NVIDIA GEFORCE RTX 2060 6GB GDDR6 GRAPHICS CARD - HP L58312-001,Pre-Owned · HP · NVIDIA GeForce RTX 2060 · 6 GB,,$129.00,https://www.ebay.com/itm/256518122765?epid=7056278315&itmmeta=01HZ5T06DKW3FGYWMDT4DD8A54&hash=item3bb9abed0d:g:7QUAAOSwyFtmS6ri&itmprp=enc%3AAQAJAAAAwL9LUkI6vJOsR4Z7yAissuqvs7YB9yhclpEmY2TgukyC%2FX%2BHeoc4LPVcrcrO02bT%2BjaAkxmrllN9Xdx5wZEWZ%2BRD1dCRDXfJjiitN%2B%2Flu2A9ImCJpO6xGKO58zgcFtYAjcKqtW2N7rePoWq9udi92RD4auxptjj7U9%2BekB50SRVYh1zESyObAmmRRF1Y1yOxL%2Fq6nx5mSI1eFgznfPqO7f3GwrQmQIPAtz7Ny7nGGG1IrKOAhn6SwWQ3uIhnF5HFpg%3D%3D%7Ctkp%3ABk9SR4bngLr5Yw
MSI Radeon RX 5600 XT GAMING MX GD,Pre-Owned · MSI · AMD Radeon RX 5600 XT · 6 GB,5.0 out of 5 stars.,$129.99,https://www.ebay.com/itm/235587351851?epid=26040748727&itmmeta=01HZ5T06DK0X29788KDKX1W72A&hash=item36da19b52b:g:nmQAAOSwcDVl8I1X&itmprp=enc%3AAQAJAAAAwGneI9XE6j695V%2Bv6R7ZONpFwIjkGc0aa%2Bz2QZE0qwCQOWvEgUyMMB9r6FVaL6xZK%2FTaaiTVywrCl9VjUX8qL7AcrV1Ol84cXghI%2FoW%2BT1xS%2BIozduSewoQeJU0FxaukoUTwDCiT2tw7vfEcwJ%2F0uRc28xzxA2qaLm7BqVIdn8fNIf2pSjEQYUNKqLeA1On90GoyiHwcNZ8%2Bj5BZzU7OM59eYiEmXi0VMHPOzZAAeavEHoIBLh26brMtmJYked1HBw%3D%3D%7Ctkp%3ABk9SR4bngLr5Yw
MSI Radeon Armor RX 580 4GB GDDR5 Graphics Card (RX 580 ARMOR 4G OC),Pre-Owned · MSI · AMD Radeon RX 580 · 4 GB,4.5 out of 5 stars.,$50.00,https://www.ebay.com/itm/256526820416?epid=783105591&itmmeta=01HZ5T06DMNA34ED0WN9SAFAVX&hash=item3bba30a440:g:~j4AAOSwLXBmVq9i&itmprp=enc%3AAQAJAAAA4Nb5peccp1Bm%2BgKYNdGLdlu62FTtgRQXjkl6OJSvs2Ob18pFP3Vx0GJK0zQGB7IPefDwZSyEI00z8b1tKUkobstfboQSl0VnzBEe%2FWcVbijaZ89DzlaXQYD2fVmrLCMfBHrFm3ya%2FTWRuP%2FUAgzSejwEnjvFEdWp63j5WcBCdf%2FNPaCkKC4J%2FKzwxMdz6sdp9%2FdCRdhgoXCneLVr8cg15oQ07rPrzNuTuGsi6Eu%2BukK2RPAB1i5jieq2AMEcK5JaIa0hq7aD0gEmoPtETqUpsTts8Q75GbdCJPLkjFvs5oLC%7Ctkp%3ABk9SR4bngLr5Yw
NVIDIA GeForce RTX 3080 Founders E,Pre-Owned · NVIDIA · NVIDIA GeForce RTX 3080 · 10 GB,4.0 out of 5 stars.,$420.00,https://www.ebay.com/itm/387044814256?epid=4040934334&itmmeta=01HZ5T06DMYSB5CEZ8HVM2Y4WG&hash=item5a1dab2db0:g:kHMAAOSwA~NmWPW1&itmprp=enc%3AAQAJAAAAwMKbm6S2T7r0yC1FG8T6ICeNhl8ssMJmOsYTP%2BD2PdGGISRrFaiGRPMUUcQxMKyZaYcKYWf4U0Lv%2FJiBPFiFJkkpG6qTwp6C0pYgy1JwXO9dzP4h9jISuJ0JfIoESUeFBCSuJpOt44v7JeidTijDNuseIX4D800Sqpe9s3HDOwrbx8XEatgHdpRhUV3Qx0GPOinBz%2B5MQWJJuDPycFN8fr%2B5CEUsq%2FL3x%2BnKK5J2AyVDK8EcpGP7qPpe8cm1N3tDuw%3D%3D%7Ctkp%3ABk9SR4bngLr5Yw
MSI Radeon RX 5600 XT GAMING MX GD,Pre-Owned · MSI · AMD Radeon RX 5600 XT · 6 GB,5.0 out of 5 stars.,$104.99,https://www.ebay.com/itm/326145810845?epid=26040748727&itmmeta=01HZ5T06DMMFHVMGJ5MBESZJH4&hash=item4befce219d:g:HfIAAOSwAIVmWOxU&itmprp=enc%3AAQAJAAAAwGq7Yyrag29HGJEeeI6pq8Ehzs3x5C4JfxVwo9aI3iQwz%2FcnabkMQwmLhwbtGgMJMbedYesIl3Yal3qFg%2FnxPWa3zjx61PC5B6faqQWlasmtxx7RyeiitGGm%2FLxkJDbD2QRzKVj4aJCP0W0sfo2%2FucLcMWO9Q1G9a%2FHPp2N78zaZn273zoZ%2BcVQqdsE3DwWp0SB67mUPLxp%2F3afpLmQmlZMXSVefFBNPmQcuXQLM2pg2eufhLyr6NzrhTnpKlOEjGQ%3D%3D%7Ctkp%3ABk9SR4bngLr5Yw
MSI GeForce GTX 1660 Super Ventus ,Pre-Owned · MSI · MSI GeForce GTX 1660 Super Ventus XS · 6 GB,5.0 out of 5 stars.,$100.00,https://www.ebay.com/itm/116200277681?epid=10035085338&itmmeta=01HZ5T06DM5MRQA21KYVJGHMAE&hash=item1b0e1386b1:g:vv8AAOSwII9mWMv0&itmprp=enc%3AAQAJAAAAwALEGWp1C3rEL2WVTqxFxkNdOX7kh3sxDZvRk20wuFYX31q4uf8Jct2Wzofiq8unhdiGdvXDrBZH%2BRq81xFDVeQI2QF9Z%2Bm3IjycjTeSCn053Y%2FNrOR2gXOfyxnojoVeCLRQdUvu60%2BDMkCRJ4om1vzWPK6wCvJHZZSDg3iVDIwoWT2z40jigTOx7X5l2iqyWSBcT5KaPzOcz8mkSZ9bkgzMOJJFL1YDeetnAINU%2BI4Jl7Do1lODGpH2A5xLab0PzA%3D%3D%7Ctkp%3ABk9SR4jngLr5Yw
